alarm,hs_category,frequency,precursor_score,jaccard_score,lift_score,pagerank_score,composite_score
BSS Internal Voice Channel Abnormal,3G cell down,0.0048,0.016312056737588652,0.0,0.0,0.0,0.006524822695035461
M3UA Destination Entity Route Unavailable,3G cell down,0.0048,0.016312056737588652,0.0,0.0,0.0,0.006524822695035461
RAB abnormal release,3G cell down,0.0048,0.016312056737588652,0.0,0.0,0.0,0.006524822695035461
SCCP Subsystem Prohibited,3G cell down,0.0048,0.016312056737588652,0.0,0.0,0.0,0.006524822695035461
Door Open,LOSS-OF-ALL CHANNEL,0.0048,0.016312056737588652,0.0,0.0,0.0,0.006524822695035461
M3UA Destination Entity Inaccessible,3G cell down,0.0048,0.016312056737588652,0.0,0.0,0.0,0.006524822695035461
Cell PS Service Faulty,2G cell down,0.0044,0.014893617021276596,0.0,0.0,0.0,0.005957446808510639
M3UA Destination Entity Inaccessible,2G cell down,0.0044,0.014893617021276596,0.0,0.0,0.0,0.005957446808510639
BSS Internal Voice Channel Abnormal,2G cell down,0.0044,0.014893617021276596,0.0,0.0,0.0,0.005957446808510639
M3UA Destination Entity Route Unavailable,2G cell down,0.0044,0.014893617021276596,0.0,0.0,0.0,0.005957446808510639
SCCP Subsystem Prohibited,2G cell down,0.0044,0.014893617021276596,0.0,0.0,0.0,0.005957446808510639
SCTP Link IP Address Unreachable,2G cell down,0.0042,0.014184397163120567,0.0,0.0,0.0,0.005673758865248227
Door Status Alarm (PS),2G cell down,0.0042,0.014184397163120567,0.0,0.0,0.0,0.005673758865248227
SCTP IP Pair Unreach,2G cell down,0.0042,0.014184397163120567,0.0,0.0,0.0,0.005673758865248227
IP Connectivity Check Failure,2G cell down,0.0042,0.014184397163120567,0.0,0.0,0.0,0.005673758865248227
NSVL Dynamic Configuration Procedure Failure,2G cell down,0.0042,0.014184397163120567,0.0,0.0,0.0,0.005673758865248227
UMTS Cell Max DL Power Mismatch,2G cell down,0.004,0.013475177304964538,0.0,0.0,0.0,0.005390070921985815
BBU CPRI Optical Module or Electrical Port Not Ready,4G cell down,0.004,0.013475177304964538,0.0,0.0,0.0,0.005390070921985815
Battery Status (Battery Deep Discharge),LOSS-OF-ALL CHANNEL,0.004,0.013475177304964538,0.0,0.0,0.0,0.005390070921985815
SCTP IP Pair Unreach,3G cell down,0.0038,0.012765957446808508,0.0,0.0,0.0,0.005106382978723404
SCTP Link IP Address Unreachable,3G cell down,0.0038,0.012765957446808508,0.0,0.0,0.0,0.005106382978723404
IP Connectivity Check Failure,3G cell down,0.0038,0.012765957446808508,0.0,0.0,0.0,0.005106382978723404
