alarm_1,alarm_2,lag,correlation,abs_corr
Adjacent Node IP Address Ping Failure,Core CPU Overload,-1,0.19565898585596422,0.19565898585596422
Adjacent Node IP Address Ping Failure,Core CPU Overload,0,0.26000253620944935,0.26000253620944935
Adjacent Node IP Address Ping Failure,Core CPU Overload,1,0.16227164561133384,0.16227164561133384
Adjacent Node IP Address Ping Failure,Core CPU Overload,2,0.1553490398358603,0.1553490398358603
Adjacent Node IP Address Ping Failure,Core CPU Overload,3,0.12402598764918649,0.12402598764918649
Adjacent Node IP Address Ping Failure,Core CPU Overload,4,0.09610503541641861,0.09610503541641861
Adjacent Node IP Address Ping Failure,Core CPU Overload,5,0.1048415393497572,0.1048415393497572
Adjacent Node IP Address Ping Failure,Core CPU Overload,6,0.08267402054367219,0.08267402054367219
Adjacent Node IP Address Ping Failure,Core CPU Overload,7,0.0803696487121474,0.0803696487121474
Adjacent Node IP Address Ping Failure,Core CPU Overload,8,0.07594964344466096,0.07594964344466096
Adjacent Node IP Address Ping Failure,Core CPU Overload,9,0.04605151870298737,0.04605151870298737
Adjacent Node IP Address Ping Failure,Core CPU Overload,10,0.06057454933404413,0.06057454933404413
Adjacent Node IP Address Ping Failure,Core CPU Overload,11,0.05893494249592783,0.05893494249592783
Adjacent Node IP Address Ping Failure,Core CPU Overload,12,0.07787220826744418,0.07787220826744418
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-12,0.10422401165174187,0.10422401165174187
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-11,0.1164325344576687,0.1164325344576687
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-10,0.12823279659981174,0.12823279659981174
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-9,0.11371329871239928,0.11371329871239928
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-8,0.12311677364340627,0.12311677364340627
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-7,0.1260852449686799,0.1260852449686799
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-6,0.13362084593445855,0.13362084593445855
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-5,0.14665433654629856,0.14665433654629856
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-4,0.12984629983518847,0.12984629983518847
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-3,0.14535064222568703,0.14535064222568703
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-2,0.14036984132950175,0.14036984132950175
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,-1,0.15990122174084023,0.15990122174084023
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,0,0.29715383161759207,0.29715383161759207
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,1,0.17944432791724815,0.17944432791724815
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,2,0.1552887331807955,0.1552887331807955
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,3,0.1458796860848441,0.1458796860848441
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,4,0.12450288479023727,0.12450288479023727
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,5,0.12817846894426546,0.12817846894426546
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,6,0.11651714394165351,0.11651714394165351
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,7,0.10937874022948965,0.10937874022948965
